I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Xi2 Ceti,,Cetus,37.03982108,8.460060225,4.14,4.25,4.3,4.38,4.38,4.392,-0.11,-0.05,0,-0.012,23.707,-4.787,11.9,1.3,60.35695101,1.678676675,B9III,2.45,,2.6,0.17,80.13,,10630,400,$\xi^2$
Gamma Ceti A,Kaffaljidhma,Cetus,40.82516292,3.235816389,3.63,3.56,3.47,3.24,3.104,3.08,0.07,0.09,0.136,0.024,-146.1,-146.12,-4.9,0.9,24.40810349,0.375325975,A2V,1.88,,1.9,,21,,8551,,$\gamma$
Delta Ceti,,Cetus,39.87064913,0.328509583,2.97,3.85,4.07,4.797,4.74,4.702,-0.88,-0.22,0.057,0.038,12.85,-2.94,13,0.9,199.2031873,5.952286472,B2IV,8.4,0.7,4.6,0.8,4000,,21900,1000,$\delta$
Omicron Ceti,Mira,Cetus,30.16580042,-2.977637667,7.71,7.63,6.53,-0.73,-1.57,-2.21,0.08,1.1,0.84,0.64,9.33,-237.36,63.5,0.6,91.65902841,10.24968054,M7III,1.18,,367,49.49747468,8880,678.8225099,3055,193.747258,$o$
Zeta Ceti A,Baten Kaitos,Cetus,27.86516554,-10.33502598,5.92,4.86,3.72,1.92,1.33,1.22,1.06,1.14,0.59,0.11,40.8,-37.25,7.8,0.3,67.92324673,1.904480642,K0.5III,2.34,,25,,240,,4581,14,$\zeta$
Theta Ceti,,Cetus,21.00585535,-8.183255904,5.57,4.65,3.59,1.836,1.298,1.178,0.92,1.06,0.538,0.12,-77.94,-206.53,17.2,0.5,34.89183531,0.231313633,K0III,1.8,,10.04,,53,,4660,17,$\theta$
Eta Ceti,,Cetus,17.14746451,-10.18226582,5.8,4.61,3.45,1.565,1.012,0.875,1.19,1.16,0.553,0.137,215.61,-139.02,11.1,1.46,37.99392097,0.202095324,K2III,1.84,,15.1,0.1,74,3.7,4543,24,$\eta$
Iota Ceti,,Cetus,4.856975681,-8.823919738,5.94,4.77,3.55,1.66,1.09,0.95,1.17,1.22,0.57,0.14,-15.15,-37.11,19.35,0.17,84.17508418,1.275380063,K1III,2.78,,34,,398,,4446,18,$\iota$
Beta Ceti,Diphda,Cetus,10.89737875,-17.98660631,3.9,3.02,2.01,0.39,-0.12,-0.23,0.88,1.01,0.51,0.11,232.55,31.99,13.257,0.0002,29.53337271,0.523332062,G9.5III,2.8,,16.78,0.25,139.1,7,4797,,$\beta$
Tau Ceti,,Cetus,26.01701426,-15.9374796,4.43,4.22,3.5,2.14,1.72,1.68,0.21,0.72,0.42,0.04,-1721.05,854.16,-16.597,0.0002,3.650167908,0.002265033,G8V,0.783,0.012,0.793,0.004,0.52,0.03,5344,50,$\tau$
Alpha Chamaeleontis,,Chamaeleon,124.6314716,-76.91972123,4.41,4.448,4.047,3.415,3.147,3.15,-0.038,0.401,0.268,-0.003,111.12,107.49,-13.4,0.5,19.56181534,0.045919754,F5V,1.42,,2.155,0.134350288,7.542,0.062,6521,212.1320344,$\alpha$
Gamma Chamaeleontis,,Chamaeleon,158.8671133,-78.60778669,7.65,5.7,4.12,1.34,0.49,0.3,1.95,1.58,0.85,0.19,-37.61,11.08,-22.4,0.7,128.0409731,1.967338895,K4III,,,67,,864,,4035,,$\gamma$
Delta1 Chamaeleontis,,Chamaeleon,161.3179769,-80.46959469,,,,3.988,3.403,3.342,,,0.585,0.061,-17.28,-29.25,10.7,0.74,106.8376068,5.136423406,K0III,,,,,76,,5052,,$\delta^1$
Delta2 Chamaeleontis,,Chamaeleon,161.4458536,-80.54018847,3.56,4.258,4.433,4.861,5.026,4.982,-0.698,-0.175,-0.165,0.044,-36.86,5.9,22.6,2,107.5268817,1.503063938,B3V,5,0.1,3.9,,503,,15873,,$\delta^2$
Beta Chamaeleontis,,Chamaeleon,184.5867691,-79.31224193,3.59,4.104,4.229,4.687,4.541,4.556,-0.514,-0.125,0.146,-0.015,-37.97,11.15,23,4.1,91.49130833,1.255598925,B4V,5,0.1,2.84,0.13,212,,14495,157,$\beta$
Epsilon Chamaeleontis A,,Chamaeleon,179.9065681,-78.22183831,5.13,5.29,5.33,5.015,5.042,4.977,-0.16,-0.04,-0.027,0.065,-40.34,-8.3,13,3.7,110.864745,4.424757007,B9V,2.87,,,,99.7,,10500,,$\epsilon$
Gamma Circini A,,Circinus,230.8443456,-59.32078142,4.35,,4.94,3.54,3.08,3.04,,,0.46,0.04,-12.97,-34.24,-16.9,1.78,137.5515818,15.32555451,B3V,6,0.3,,,,,15135,,$\gamma$
Alpha Circini,,Circinus,220.6267483,-64.97513707,3.55,3.43,3.19,2.84,2.73,2.74,0.12,0.24,0.11,-0.01,-192.53,-233.51,7.099,0.0006,16.57000829,0.038439124,A7V,1.6,0.1,1.967,0.066,10.51,0.6,7500,,$\alpha$
Beta Circini,,Circinus,229.3785423,-58.80120481,4.24,4.153,4.057,3.928,3.806,3.875,0.087,0.096,0.122,-0.069,-97.74,-134.15,9.6,2,30.55300947,0.177362414,A3V,,,1.3,,19,,8676,33,$\beta$
Epsilon Columbae,,Columba,82.8031208,-35.4705168,6.09,5.01,3.87,2,1.472,1.28,1.08,1.14,0.528,0.192,26.421,-30.085,-4.9,0.7,80.25038119,1.560441968,K1II,2.47,,25.75,3.606244584,251.2,5.6,4542.5,321.7335854,$\epsilon$
Alpha Columbae,Phact,Columba,84.9122543,-34.07410972,2.1,2.53,2.65,2.81,2.84,2.82,-0.43,-0.12,-0.03,0.02,1.58,-24.82,35,4,80.12820513,2.311390533,B9V,4.5,,5.8,,1000,,12963,,$\alpha$
Beta Columbae,Wazn,Columba,87.7399675,-35.76830978,5.49,4.28,3.12,1.234,0.688,0.56,1.21,1.16,0.546,0.128,54.77,404.2,89.4,0.3,26.73082064,0.085744413,K1III,1.1,0.2,11.5,,56,,4545,,$\beta$
Gamma Columbae A,,Columba,89.38420657,-35.28328202,3.52,4.18,4.36,4.72,4.816,4.801,-0.66,-0.18,-0.096,0.015,-3.24,10.21,24.2,0.7,266.6666667,12.8,B2.5IV,5.7,0.3,4.8,0.4,2070,,12904,,$\gamma$
Delta Columbae A,,Columba,95.52840384,-33.43637794,5.25,4.73,3.85,2.41,1.884,1.87,0.52,0.88,0.526,0.014,-16.356,-56.999,-2.6,0.9,61.86051691,1.212688694,G7II,,,,,149.5,,5136,,$\delta$
Eta Columbae,,Columba,89.78668831,-42.81513394,6.18,5.1,3.96,2.13,1.462,1.47,1.08,1.14,0.668,-0.008,18.39,-10.87,17,0.7,144.7178003,2.513189006,G8II,3.33,,38.6,,708,,4620,54,$\eta$
Alpha Comae Berenices A,Diadem,Coma Berenices,197.4970217,17.52945525,4.71,4.77,4.32,3.4,3.27,3.11,-0.06,0.45,0.13,0.16,-433.13,141.24,-18.826,0.0016,17.82531194,0.282790154,F5V,1.237,,,,1.72,,6365,,$\alpha$
Beta Comae Berenices,,Coma Berenices,197.9683074,27.87818154,4.92,4.84,4.25,3.2,2.91,2.87,0.08,0.59,0.29,0.04,-801.44,882.04,5.297,0.001,9.129085266,0.014167834,F9.5V,1.15,,1.106,0.011,1.357,0.014,5936,33,$\beta$
Gamma Comae Berenices,,Coma Berenices,186.734467,28.26842252,6.64,5.47,4.34,2.55,2.048,1.9,1.17,1.13,0.502,0.148,-83.95,-81.13,3.38,0.11,51.28205128,0.499671269,K1III,1.65,0.18,11.76,0.14,58.2,1.1,4652,18,$\gamma$
Gamma Coronae Australis A,,Corona Australis,286.6046256,-37.06344169,4.75,4.73,4.21,3.17,2.89,2.85,0.02,0.52,0.28,0.04,96.74,-281.71,-51.6,0.3,17.30403184,0.224572138,F8V,1.15,,1.47,,,,6090,,$\gamma$
Alpha Coronae Australis,Meridiana,Corona Australis,287.3680874,-37.90447284,4.21,4.146,4.087,4.094,3.915,4.049,0.064,0.059,0.179,-0.134,84.87,-95.99,-18.4,1.78,38.4319754,0.369254183,A2V,2.57,,2.21,,31,,9916,337,$\alpha$
Beta Coronae Australis,,Corona Australis,287.5073158,-39.34079566,6.35,5.281,4.095,2.088,1.569,1.441,1.069,1.186,0.519,0.128,4.37,-36.65,2.7,0.7,145.3488372,5.28157112,K0II,,,41.305,5.713422792,693.5,,4771,,$\beta$
Delta Coronae Australis,,Corona Australis,287.0873742,-40.49669875,,5.664,4.571,2.781,2.243,2.137,,1.093,0.538,0.106,47.344,-27.047,21.24,0.19,53.48651872,0.89343024,K1III,1.5,0.01,11.16,0.622253967,54.7,1.1,4701,130.1076477,$\delta$
Theta Coronae Australis,,Corona Australis,278.3757696,-42.31251369,6.38,5.618,4.614,2.862,2.396,2.316,0.762,1.004,0.466,0.08,32.818,-19.699,-2.1,2,152.3159642,4.862752061,G8III,,,11,,497,,4843,322.4406922,$\theta$
Theta Coronae Borealis A,,Corona Borealis,233.2324256,31.35913228,3.45,4,4.13,4.44,4.45,4.43,-0.55,-0.13,-0.01,0.02,-20.15,-9.39,-25.7,0.3,115.0747986,6.091416268,B6V,6,,2,,538,,14910,,
Beta Coronae Borealis A,Nusakan,Corona Borealis,231.9572147,29.10570066,4.08,3.97,3.68,3.38,3.28,3.28,0.11,0.29,0.1,0,-180.17,85.92,-26.9,0.2,34.28179637,0.893183587,F2V,2.09,0.15,2.63,0.09,25.3,2.9,7980,180,$\beta$
Alpha Coronae Borealis A,Alphecca,Corona Borealis,233.6719533,26.71469278,2.19,2.22,2.24,2.25,2.394,2.21,-0.03,-0.02,-0.144,0.184,120.27,-89.58,1.7,0.9,23.00966406,0.148244499,A1IV,2.58,,2.965,0.106066017,74,,9700,,$\alpha$
Gamma Coronae Borealis A,,Corona Borealis,235.6856896,26.29563464,4.01,4.04,4.04,3.62,3.691,3.67,-0.03,0,-0.071,0.021,-111.65,49.52,-12.1,0.9,44.7828034,1.00274974,A0V,2.51,0.04,,,59,,7649,22,$\gamma$
Delta Coronae Borealis,,Corona Borealis,237.3985287,26.06838979,5.8,5.43,4.63,3.2,2.798,2.71,0.37,0.8,0.402,0.088,-78.8,-64.199,-20.36,0.04,50.72614476,0.468311801,G5III,2.4,,7.4,,34.3,,5180,,$\delta$
Epsilon Coronae Borealis,,Corona Borealis,239.3968811,26.87787877,6.65,5.36,4.13,2.09,1.42,1.3,1.29,1.23,0.67,0.12,-77.07,-60.61,-32.42,0.07,67.88866259,0.967862807,K2III,1.44,0.18,21,,151,,4365,28,$\epsilon$
Iota Coronae Borealis,,Corona Borealis,240.3606874,29.85105931,4.77,4.921,4.971,5.013,5.105,5.071,-0.151,-0.05,-0.092,0.034,-37.868,-6.641,-20.8,0.4,110.0957833,1.855737579,A0III,,,,,90,,10727,278,$\iota$
Alpha Corvi,Alchiba,Corvus,182.1034022,-24.7288751,4.34,4.34,4,3.525,3.364,3.307,0,0.34,0.161,0.057,99.52,-39.19,2.8,0.3,14.93651979,0.033464944,F1V,1.39,,,,4.91,,7041,53,$\alpha$
Epsilon Corvi,,Corvus,182.5311691,-22.61976722,5.79,4.32,2.98,0.92,0.27,0.13,1.47,1.34,0.65,0.14,-71.74,10.25,5,0.4,97.46588694,1.519935859,K2III,3.2,,52,,,,4320,,$\epsilon$
Beta Corvi,Kraz,Corvus,188.5968118,-23.3967604,4.17,3.52,2.64,1.23,0.78,0.69,0.65,0.88,0.45,0.09,1.11,-56.56,-7.34,0.08,44.66279589,0.359057761,G5II,3.7,0.1,16,,164,,5100,80,$\beta$
Delta Corvi,Algorab,Corvus,187.4660632,-16.51543126,2.8,2.89,2.94,3.02,3.05,3.05,-0.09,-0.05,-0.03,0,-210.49,-138.74,13.9,2.3,26.63115846,0.113474976,A0IV,2.745,0.091923882,,,69.4,13.15218613,10400,,$\delta$
Gamma Corvi A,Gienah,Corvus,183.951545,-17.54193044,2.12,2.47,2.58,2.76,2.83,2.81,-0.35,-0.11,-0.07,0.02,-158.61,21.86,-4.2,2,47.10315591,0.443741459,B8III,4.25,0.494974747,,,331,,,,$\gamma$
Alpha Crateris,Alkes,Crater,164.9393953,-18.29878257,6.14,5.16,4.07,2.29,1.76,1.62,0.98,1.09,0.53,0.14,-462.26,129.49,47.54,0.16,48.80429478,0.643101981,K0III,1.81,,12.32,,66,,4691,,$\alpha$
Beta Crateris A,,Crater,167.9145072,-22.82584598,4.53,4.475,4.449,4.324,4.415,4.337,0.055,0.026,-0.091,0.078,5.22,-103.457,5.6,0.5,90.61418293,2.395949417,A1V,,,,,147,,8830,,$\beta$
Gamma Crateris A,,Crater,171.2205151,-17.68400833,4.34,4.25,4.06,3.648,3.523,3.546,0.09,0.19,0.125,-0.023,-97.42,3.65,1,4.1,25.23977789,0.127409278,A7V,1.81,,1.3,,18.8,,8020,273,$\gamma$
Zeta Crateris,,Crater,176.1907365,-18.35066675,6.4,5.677,4.706,3.17,2.658,2.558,0.723,0.971,0.512,0.1,26.703,-26.97,-3.64,0.15,99.8881253,2.788749702,G8.5III,,,13,,157,,4992,,$\zeta$
Eta Crateris,,Crater,179.0039808,-17.15082184,5.08,5.138,5.16,5.18,5.211,5.176,-0.058,-0.022,-0.031,0.035,-51.147,-8.894,15,4.2,78.87990534,1.127433551,A0V,,,2.7,,48.5,,9687,,$\eta$
Delta Crateris,,Crater,169.8351982,-14.77853925,5.66,4.67,3.56,1.68,1.04,0.94,0.99,1.11,0.64,0.1,-124.67,207.59,-4.94,0.21,56.9476082,0.616175715,G9III,1.56,,22.44,0.28,171.4,9,4510,15,$\delta$
Epsilon Crateris,,Crater,171.1524603,-10.85932162,8.21,6.338,4.802,1.928,1.191,1.011,1.872,1.536,0.737,0.18,-24.503,23.541,2,0.6,112.3431409,2.548176125,K4III,0.99,0.08,44.7,,391,,3930,,$\epsilon$
Theta Crateris,,Crater,174.1704723,-9.802247566,4.42,4.604,4.673,4.788,4.845,4.778,-0.184,-0.069,-0.057,0.067,-59.38,2.55,1,4.2,85.98452279,1.700467777,B9.5V,2.79,,3.1,,107,,11524,392,$\theta$
Alpha1 Crucis,Acrux,Crux,186.6495667,-63.09909167,,1.1,1.28,1.34,1.33,1.33,,-0.18,0.01,0,-35.4,-14.7,-11.2,2,98.71668312,4.872491763,B0.5IV,17.8,,7.8,,25000,,24000,,$\alpha^1$
Alpha2 Crucis,,Crux,186.6518417,-63.09952222,,1.41,1.58,1.34,1.33,1.33,,-0.17,0.01,0,-42.5,-7.7,-0.6,2,98.71668312,4.872491763,B1V,15.52,,5.4,,16000,,28000,,$\alpha^2$
Beta Crucis A,Mimosa,Crux,191.9302865,-59.688772,0.03,1.02,1.25,1.8,1.92,1.99,-0.99,-0.23,-0.12,-0.07,-42.97,-16.18,10.3,0.2,85.3970965,7.146810809,B1IV,16,,8.4,0.6,34000,,27000,1000,$\beta$
Gamma Crucis,Gacrux,Crux,187.7914984,-57.11321344,5.01,3.23,1.64,-1.994,-2.9,-3.12,1.78,1.59,0.906,0.22,28.23,-265.08,21,0.1,27.15177844,0.132699433,M3.5III,1.5,0.3,120,,758,,3689,,$\gamma$
Delta Crucis,Imai,Crux,183.7863197,-58.74892693,1.63,2.568,2.752,3.328,3.44,3.532,-0.938,-0.184,-0.112,-0.092,-35.81,-10.36,22.2,2,105.8201058,1.679684219,B2IV,8.9,0.1,8,,10000,,22570,1840,$\delta$
Beta1 Cygni,Albireo,Cygnus,292.6803355,27.95968008,4.83,4.21,3.08,1.125,0.464,0.394,0.62,1.13,0.661,0.07,-7.17,-6.15,-24.07,0.12,133.1557923,5.851053456,K3II,5.2,,62,,1259,,4383,,$\beta^1$
Beta2 Cygni,,Cygnus,292.6891504,27.96527051,4.69,5.01,5.11,5.208,5.258,5.258,-0.32,-0.1,-0.05,0,-0.99,-0.541,-18.8,2.2,119.3616539,0.1696,B8V,3.7,0.8,2.59,,230,90,13200,600,$\beta^2$
Gamma Cygni,Sadr,Cygnus,305.557091,40.25667916,3.44,2.9,2.23,1.11,0.83,0.72,0.54,0.67,0.28,0.11,2.39,-0.91,-5.906,0.0006,561.7977528,85.21651307,F8Ib,12.11,0.71,150,80,33023,,5790,100,$\gamma$
Epsilon Cygni Aa,Aljanah,Cygnus,311.5528432,33.97025692,4.37,3.52,2.48,0.78,0.2,0.09,0.85,1.04,0.58,0.11,355.66,330.6,-12.599,0.0011,22.29157379,0.059629711,K0III,2,,10.82,0.14,62,3,4710,,$\epsilon$
Zeta Cygni,,Cygnus,318.2341081,30.22691546,4.96,4.2,3.21,1.6,1.15,1.08,0.76,0.99,0.45,0.07,6.51,-68.21,16.72,0.09,43.87889425,0.673875076,G8III,3.05,,15,,112,,4910,,$\zeta$
Nu Cygni,,Cygnus,314.2934128,41.16713864,3.96,3.96,3.94,3.8,3.69,3.77,0,0.02,0.11,-0.08,9.64,-22.75,-27.6,4.1,114.8105626,4.481698195,A0III,3.62,0.08,1.9,,412,,9462,,$\nu$
Alpha Cygni,Deneb,Cygnus,310.3579798,45.28033881,1.11,1.34,1.25,0.95,0.87,0.88,-0.23,0.09,0.08,-0.01,2.01,1.85,-4.9,0.3,432.9004329,59.96889114,A2Ia,19,4,203,17,196000,32000,8525,75,$\alpha$
Omicron2 Cygni,,Cygnus,303.8680068,47.71422829,6.54,5.5,3.98,1.19,,0.16,1.04,1.52,,,1.892,-2.81,-14.4,0.9,472.433505,61.22195418,K7Ib,7.45,,277,,17070,664.6803743,3986,170,$o^2$
Iota2 Cygni,,Cygnus,292.4264947,51.7297794,,3.899,3.755,3.735,3.691,3.598,,0.144,0.044,0.093,20.59,128.33,-19.5,2,37.20238095,0.152241886,A5V,1.8,,3.85,0.537401154,34.5,0.5,8216,279,$\iota^2$
Iota1 Cygni,,Cygnus,291.8581676,52.32044087,,5.75,5.75,5.632,5.69,5.674,,0,-0.058,0.016,-12.639,-27.567,1.9,0.9,118.5789499,1.219085869,A1V,2.59,0.03,,,69.35,22.27386361,9638.5,188.7975106,$\iota^1$
Kappa Cygni,,Cygnus,289.2757027,53.36845927,5.47,4.73,3.76,2.21,1.823,1.64,0.74,0.97,0.387,0.183,60.07,122.83,-29.36,0.03,38.06623525,0.144903827,G9III,,,8.5,0.5,51,,4920,,$\kappa$
Delta Cygni,Fawaris,Cygnus,296.2436606,45.13081002,2.75,2.85,2.87,2.82,2.84,2.83,-0.1,-0.02,-0.02,0.01,44.07,48.66,-23.6,3,50.58168943,1.228083507,A0IV,2.93,,5.13,,155,,10150,,$\delta$
Epsilon Delfini,Aldulfin,Delphinus,308.3032163,11.30326144,3.43,3.9,4.03,4.28,4.55,4.381,-0.47,-0.13,-0.27,0.169,11.96,-28.97,-19.4,0.7,101.3171226,2.155683459,B6IV,,,4.6,,676,,13614,15,$\epsilon$
Beta Delfini,Rotanev,Delphinus,309.3872554,14.59508875,4.16,4.07,3.63,2.89,2.76,2.65,0.09,0.44,0.13,0.11,118.09,-48.06,-32.57,3.81,30.93102382,0.44966227,F5IV,1.75,0.002,,,2,,6587,,$\beta$
Delta Delfini,,Delphinus,310.8647224,15.07457703,,4.701,4.417,3.898,3.745,3.831,,0.284,0.153,-0.086,-20.44,-43.33,9.3,0.9,68.44626968,0.936978367,F1V,1.78,,3.9,,59.9,,7226,246,$\delta$
Gamma1 Delfini,,Delphinus,311.6619185,16.12412545,,5.53,4.96,,,,,0.57,,,-11.153,-203.341,-6.97,0.03,35.20283876,0.186381674,F8V,1.61,0.04,2.6,0.12,10.2,,6295,25,$\gamma^1$
Gamma2 Delfini,,Delphinus,311.6645799,16.12428774,,5.26,4.25,,,,,1.01,,,-29.851,-196.058,-6.17,0.68,35.06520375,0.586750095,K1IV,1.99,0.06,8.43,0.33,33.1,,4798,20,$\gamma^2$
Alpha Delfini,Sualocin,Delphinus,309.90953,15.91207326,3.55,3.74,3.8,3.85,3.89,3.88,-0.19,-0.06,-0.04,0.01,53.82,8.47,-3.4,3.7,77.82101167,2.664688337,B9IV,2.82,,3.92,,,,11643,,$\alpha$
Gamma Doradus,,Dorado,64.00661763,-51.48664418,,4.55,4.2,3.68,3.469,3.51,,0.35,0.211,-0.041,99.463,183.353,25.2,0.5,20.45056689,0.117814176,F1V,1.56,0.06,1.925,0.247487373,6.9985,0.072831998,6739,362.038672,$\gamma$
Alpha Doradus,,Dorado,68.49907163,-55.04497897,2.83,3.18,3.28,3.51,3.52,3.52,-0.35,-0.1,-0.01,0,57.75,10.93,25.6,0.74,51.70630817,0.828798114,B8III,3.33,0.1,3.5,0.3,195,,11588,,$\alpha$
Zeta Doradus A,,Dorado,76.37773408,-57.47270248,,5.215,4.708,3.701,3.407,3.371,,0.507,0.294,0.036,-32.14,117.417,-1.15,0.22,11.6246764,0.020486178,F9V,1.07,,1.045,0.06363961,1.55,0.005,6309,199.4041123,$\zeta$
Zeta Doradus B,,Dorado,76.44738481,-57.55383261,11.559,10.347,8.932,6.272,5.633,5.442,1.212,1.415,0.639,0.191,-32.784,119.633,-0.807,0.0013,11.69793134,0.003475777,K7V,0.53,,0.62,0.056568542,0.084,,4750,340,
Beta Doradus,,Dorado,83.40630222,-62.48981197,5.13,4.58,3.76,2.42,2.14,1.99,0.55,0.82,0.28,0.15,0.8,9.458,7.2,0.7,321.347087,29.37859386,F8Ib,7.7,0.2,67.8,0.7,3200,,5445,,$\beta$
Delta Doradus,,Dorado,86.19324211,-65.73552808,4.69,4.57,4.36,3.86,3.74,3.71,0.12,0.21,0.12,0.03,-28.91,5.17,-8.3,0.8,45.87155963,0.294587998,A7V,1.85,,2.1,,29,,7828,266,$\delta$
36 Doradus,,Dorado,88.52523469,-63.08977674,,5.7,4.66,2.954,2.419,2.304,,1.04,0.535,0.115,118.57,572.93,26.33,0.14,27.05986454,0.182985844,K2III,1.12,,4.79,,11.2,,4858,,36
Gamma Draconis,Eltanin,Draco,269.1515412,51.48889561,5.63,3.76,2.23,-0.44,-1.034,-1.35,1.87,1.53,0.594,0.316,-8.48,-22.79,-27.91,0.19,47.30368969,0.223763906,K5III,1.72,,48.15,1.09,471,30,3930,,$\gamma$
Beta Draconis A,Rastaban,Draco,262.6081737,52.30138871,4.43,3.79,2.81,1.24,0.8,0.72,0.64,0.98,0.44,0.08,-15.89,-20.825,-20.825,0.0022,116.5501166,1.358392967,G2Ib,6,0.2,4,,996,,5160,150,$\beta$
Nu1 Draconis,,Draco,263.0440349,55.18424214,5.17,5.14,4.88,4.382,4.579,4.243,0.03,0.26,-0.197,0.336,147.39,54.31,-15.2,1.78,30.22152377,0.118916933,F0IV,1.85,,,,,,7533,,$\nu^1$
Nu2 Draconis,,Draco,263.0668487,55.17290961,5.19,5.15,4.88,4.76,4.5,4.159,0.04,0.27,0.26,0.341,142.65,62.43,-16,0.7,29.97512065,0.147624841,F2V,1.61,,1.812,,,,7272,,$\nu^2$
Xi Draconis A,Grumium,Draco,268.3822068,56.87264285,6.14,4.93,3.75,1.77,1.051,1.02,1.21,1.18,0.719,0.031,93.82,78.5,-26.46,0.11,34.50655625,0.142884291,K2III,1.45,0.17,12,,49,4,4445,,$\xi$
Delta Draconis,Altais,Draco,288.1387582,67.66154044,4.85,4.07,3.07,1.43,0.837,0.8,0.78,1,0.593,0.037,95.74,91.92,24.818,0.0008,29.86857826,0.089213197,G9III,2.32,,11,,59,,4820,,$\delta$
Epsilon Draconis,,Draco,297.0431239,70.2679258,5.31,4.83,3.91,2.342,1.909,1.732,0.48,0.92,0.433,0.177,79.702,41.078,2.69,0.23,47.05306645,0.667739704,G7III,2.7,,11.105,0.728319985,69.6,1.12,5006,164.0487732,$\epsilon$
Phi Draconis Aa,,Draco,275.189301,71.33781942,3.77,4.15,4.22,4.182,4.454,4.392,-0.38,-0.07,-0.272,0.062,-5.03,37.86,-16,5,92.85051068,3.276062587,B8V,3.3,,2.7,0.2,107,,11429,,$\phi$
Chi Draconis A,,Draco,275.264094,72.73284772,4.01,4.07,3.58,2.5,2.22,2.18,-0.06,0.49,0.28,0.04,531.21,-349.71,31.9,0.14,8.057368463,0.056481432,F7V,1.029,0.026,1.2,0.09,1.86,,6150,150,$\chi$
Zeta Draconis A,Aldhibah,Draco,257.1966498,65.71468427,2.63,3.06,3.17,3.4,3.577,3.48,-0.43,-0.11,-0.177,0.097,-20.43,19.61,-17.7,0.3,100.7049345,3.549519344,B6III,3.5,,2.3,,148,,13397,,$\zeta$
Eta Draconis A,Athebyne,Draco,245.9978776,61.51423545,4.35,3.65,2.74,1.17,0.584,0.61,0.7,0.91,0.586,-0.026,-17.02,56.95,-14.734,0.0003,28.23263693,0.071737361,G8III,2.55,,11,,60,,5055,,$\eta$
Theta Draconis,,Draco,240.4722765,58.56275157,4.63,4.52,4,3.05,2.394,2.74,0.11,0.52,0.656,-0.346,-319.51,334.97,-8.23,0.2,21.04377104,0.05311848,F9V,1.53,,2.865,0.120208153,9.998,0.137,6067,128.6934342,$\theta$
Iota Draconis,Edasich,Draco,231.2323943,58.96606512,5.68,4.45,3.29,1.38,0.724,0.68,1.23,1.16,0.656,0.044,-8.36,17.08,-10.912,0.001,31.02699348,0.096267432,K2III,1.82,0.23,11.99,0.06,55.3,5.3,4545,110,$\iota$
Alpha Draconis A,Thuban,Draco,211.0972915,64.37585053,3.52,3.64,3.68,3.434,3.633,3.639,-0.12,-0.04,-0.199,-0.006,-56.34,17.21,-13,0.9,92.93680297,1.468332389,A0III,2.8,,3.4,,479,,10100,,$\alpha$
Kappa Draconis,,Draco,188.3705919,69.78823142,3.18,3.75,3.89,3.9,3.96,3.82,-0.57,-0.14,-0.06,0.14,-58.162,11.802,-12,0.3,140.0815274,6.457874779,B6III,,,5.6,,1115,,13800,,$\kappa$
Lambda Draconis,Giausar,Draco,172.8509198,69.33107489,7.44,5.47,3.85,0.87,0.18,-0.12,1.97,1.62,0.69,0.3,-40.97,-19.19,6.6,0.13,102.145046,1.565041562,M0III,1.7,,71,,834,,3958,,$\lambda$
Alpha Equulei A,Kitalpha,Equuleus,318.9559663,5.247845281,4.734,4.446,3.933,2.809,2.442,2.343,0.288,0.513,0.367,0.099,59.88,-94.09,-16.26,0.06,58.34305718,0.714821587,G6IV,2.3,,9.2,,52.5,,5100,,$\alpha$
Delta Equulei A,,Equuleus,318.6200638,10.00697941,4.98,4.99,4.49,3.74,3.41,3.38,-0.01,0.5,0.33,0.03,42.39,-304.19,-15.85,0.07,18.48770568,0.225584872,F7V,1.192,0.012,1.3,0.08,2.25,,6200,150,$\delta$
Gamma Equulei,,Equuleus,317.5854172,10.13157836,5.03,4.94,4.68,4.28,4.18,4.1,0.09,0.26,0.1,0.08,45.342,-151.506,-16.489,0.0004,34.75782486,0.280643114,A9V,1.755,0.205060967,2.11,0.07,11,0.93,7550,150,$\gamma$
Beta Eridani,Cursa,Eridanus,76.96243954,-5.086445972,3.02,2.92,2.79,2.51,2.439,2.38,0.1,0.13,0.071,0.059,-82.82,-75.39,-6,0.8,27.39726027,0.315256146,A3IV,2,,2.4,,25,,8232,181.019336,$\beta$
Mu Eridani A,,Eridanus,71.37562659,-3.254660156,3.26,3.87,4,4.67,4.567,4.395,-0.61,-0.13,0.103,0.172,15.94,-14.52,23.3,4.1,160,4.864,B5IV,6.2,0.2,6.1,,1905,,15668,,$\mu$
Nu Eridani,,Eridanus,69.07975601,-3.352460188,2.82,3.737,3.928,4.082,4.581,4.507,-0.917,-0.191,-0.499,0.074,1.53,-5.01,14.9,2,207.0393375,8.14440458,B2III,9.3,0.3,6.2,0.5,7943,,22000,250,$\nu$
