I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Eta Canis Majoris,Aludra,Canis Major,111.0237595,-29.3031055,1.65,2.37,2.45,2.57,2.56,2.61,-0.72,-0.08,0.01,-0.05,-4.14,5.81,41.1,2,609.7560976,148.7209994,B5Ia,19.19,1.15,56.3,,105442,,15000,,$\eta$
Alpha Canis Minoris A,Procyon,Canis Minor,114.8254979,5.224987556,0.82,0.79,0.37,-0.39,-0.56,-0.65,0.03,0.42,0.17,0.09,-714.59,-1036.8,-15.908408,0.06266,3.514197357,0.015560475,F5IV,1.499,0.031,2.048,0.025,6.93,,6530,50,$\alpha$
Beta Canis Minoris,Gomeisa,Canis Minor,111.7876739,8.289315763,2.52,2.8,2.89,3.02,3.07,3.03,-0.28,-0.09,-0.05,0.04,-51.76,-38.29,22,2.5,49.57858205,0.49160716,B8V,3.5,,3.5,,195,,11772,,$\beta$
Alpha1 Capricorni A,,Capricornus,304.4119546,-12.50821433,6.14,5.34,4.27,2.53,2.037,1.91,0.8,1.07,0.493,0.127,21.8,2.222,-25.79,0.15,267.2581981,14.21396195,G3Ib,5.3,,36.3,2,1047,,5119,15,$\alpha^1$
Alpha2 Capricorni A,Algedi,Capricornus,304.5135664,-12.54485232,5.2,4.51,3.58,2.03,1.58,1.45,0.69,0.93,0.45,0.13,62.63,2.66,0.7,0.4,32.44646334,0.200026867,G9III,2.05,0.29,8.38,0.58,40.4,2.2,5030,160,$\alpha^2$
Beta1 Capricorni A,Dabih,Capricornus,305.2527012,-14.78149406,4.14,3.87,3.08,1.49,0.98,0.89,0.27,0.79,0.51,0.09,61.593,20.85,-19,0.6,170.2736297,14.96334354,G0II,,,35,,600,,4900,,$\beta^1$
Beta2 Capricorni A,,Capricornus,305.1939593,-14.78486424,,6.08,6.1,6.02,6.052,6.004,,-0.02,-0.032,0.048,42.921,-6.415,-17.6,1.8,138.2858091,7.614764664,A0III,,,,,40,,,,$\beta^2$
Psi Capricorni,,Capricornus,311.5238859,-25.27089754,,4.538,4.122,3.363,3.104,3.094,,0.416,0.259,0.01,-51.96,-156.56,25.6,0.7,14.67782181,0.058168382,F5V,1.37,,1.53,0.084852814,3.82,0.03,6530,185.2619767,$\psi$
Omega Capricorni,,Capricornus,312.9553789,-26.91913644,7.66,5.75,4.12,1.24,0.4,0.21,1.91,1.63,0.84,0.19,-9.261,-1.598,9.1,1.4,318.6641598,37.68403484,M0III,6.8,0.9,169.15,12.79863274,6265.5,1173.09015,3950,145.6639969,$\omega$
Zeta Capricorni A,,Capricornus,321.6667764,-22.4113345,5.35,4.75,3.74,2.35,1.98,1.87,0.6,1.01,0.37,0.11,-2.23,18.1,2.1,0.1,118.2033097,2.934124709,G4Ib,4.55,0.353553391,29,,579.5,228.3954903,5269,53,$\zeta$
