Common Name,ID1,ID2,ObjType,Constellation,RA,Dec,B,V,B-V,R1,R2,Angle,Draw?,PM RA,PM Dec,RV,RV Err,Dist,Dist Err
Eyes Galaxies,NGC 4435,Arp 120,EllGal,Virgo,186.918696,13.078944,11.74,10.80,0.94,1.378,0.997,13,No,0.00,0.00,791.00,5.00,16500000.0,1064910.0
Eyes Galaxies,NGC 4438,Arp 120,EllGal,Virgo,186.939974,13.008826,11.02,10.17,0.85,4.256,1.583,27,No,0.00,0.00,71.00,3.00,14400000.0,1991520.0
,NGC 4442,UGC 7583,EllGal,Virgo,187.016179,9.803711,11.38,10.44,0.94,2.286,0.889,87,No,0.00,0.00,547.00,5.00,15400000.0,851928.0
,NGC 4448,UGC 7591,SpiGal,Coma Berenices,187.064292,28.620306,12.00,11.07,0.93,1.945,0.706,94,No,0.00,0.00,658.00,3.00,24500000.0,4856635.0
,NGC 4449,C41,IrrGal,Canes Venatici,187.046263,44.093631,9.99,9.58,0.41,3.083,2.183,45,No,0.00,0.00,207.00,4.00,4020000.0,593030.4
,NGC 4450,UGC 7594,SpiGal,Coma Berenices,187.123458,17.084944,10.90,10.08,0.82,2.624,1.945,175,No,0.00,0.00,1956.00,5.00,15600000.0,3092388.0
,NGC 4459,UGC 7614,EllGal,Coma Berenices,187.250038,13.978372,11.32,10.37,0.95,1.774,1.347,110,No,0.00,0.00,1192.00,5.00,15900000.0,1026186.0
,NGC 4473,UGC 7631,EllGal,Coma Berenices,187.453625,13.429358,11.16,10.20,0.96,2.233,1.255,100,No,0.00,0.00,2244.00,2.00,15000000.0,829800.0
,NGC 4477,UGC 7638,EllGal,Coma Berenices,187.509158,13.636603,11.38,10.42,0.96,1.901,1.734,15,No,0.00,0.00,1338.00,5.00,19800000.0,2281950.0
,NGC 4478,UGC 7645,EllGal,Virgo,187.572567,12.328553,12.36,11.45,0.91,0.953,0.811,10,No,0.00,0.00,1349.00,3.00,16400000.0,907248.0
,NGC 4485,UGC 7648,IrrGal,Canes Venatici,187.629708,41.701167,12.32,11.93,0.39,1.146,0.811,15,No,0.00,0.00,418.00,3.00,8750000.0,1411812.5
