Common Name,ID1,ID2,ObjType,Constellation,RA,Dec,B,V,B-V,R1,R2,Angle,Draw?,PM RA,PM Dec,RV,RV Err,Dist,Dist Err
,NGC 6568,,OC,Sagittarius,273.192083,-21.611944,,8.60,,16.800,16.800,0,No,0.59,-1.38,-43.70,0.42,1068.4,3.4
,NGC 6569,,GC,Sagittarius,198.412000,-31.826444,10.78,9.47,1.31,3.600,3.600,0,No,-4.13,-7.26,-49.83,0.50,11520.7,1247.6
Emerald Nebula,NGC 6572,PK 034+11 1,PNeb,Ophiuchus,273.026308,6.853619,9.30,10.80,-1.50,0.597,0.406,20,No,8.90,-4.00,-8.70,0.90,212.8,810.3
,NGC 6583,,OC,Sagittarius,273.962083,-22.143056,,10.00,,5.500,5.500,0,No,1.30,0.11,-2.27,0.57,2421.3,23.5
,NGC 6624,,GC,Sagittarius,275.918792,-30.361028,,7.60,,1.640,1.640,0,No,0.11,-6.92,54.26,0.45,9596.9,653.9
,NGC 6629,PK 009-05 1,PNeb,Sagittarius,276.426892,-23.202931,11.90,9.90,2.00,0.350,0.308,5,No,-1.41,4.04,13.00,5.00,2197.8,243.9
,NGC 6633,Cr 380,OC,Ophiuchus,276.880000,6.570000,,4.60,,43.200,43.200,0,No,1.16,-1.74,-29.10,0.10,396.3,0.4
,NGC 6638,,GC,Sagittarius,277.734375,-25.496417,10.81,9.68,1.13,3.000,3.000,0,No,-2.58,-4.05,8.63,2.00,12091.9,1506.0
,NGC 6642,Cr 381,GC,Sagittarius,277.975958,-23.476139,11.30,10.24,1.06,3.000,3.000,0,No,-0.90,-3.90,-33.23,1.13,8467.4,939.2
,NGC 6645,,OC,Sagittarius,278.157917,-16.918056,,8.50,,14.500,14.500,0,No,1.34,-0.63,-3.93,0.31,1841.6,13.6
,NGC 6664,,OC,Scutum,279.125000,-8.193889,8.81,7.80,1.01,12.000,12.000,90,No,-0.09,-2.56,18.60,0.40,2136.8,18.3
,NGC 6712,,GC,Scutum,283.268000,-8.705972,9.85,8.69,1.16,2.740,2.740,0,No,3.32,-4.38,-107.45,0.29,7256.9,363.4
,NGC 6723,,GC,Sagittarius,284.888125,-36.632250,,6.80,,11.700,11.700,0,No,1.00,-2.42,-94.18,0.26,10298.7,339.4
Great Peacock Globular,NGC 6752,C93,GC,Pavo,287.717125,-59.984556,6.96,6.28,0.68,26.400,26.400,0,No,-3.17,-4.01,-26.28,0.16,4189.4,26.3
,NGC 6755,Cr 397,OC,Aquila,286.942083,4.223889,8.60,7.50,1.10,10.600,10.600,0,No,-0.73,-3.53,27.11,0.88,2659.6,28.3
,NGC 6756,Cr 398,OC,Aquila,287.180833,4.711111,,10.60,,3.400,3.400,0,No,-1.58,-3.63,,,3558.7,63.3
,NGC 6781,PK 041-02 1,PNeb,Aquila,289.617021,6.538692,,11.80,,1.767,1.767,90,No,,,4.30,,706.0,
,NGC 6802,Cr 400,OC,Vulpecula,292.650000,20.259444,10.07,8.80,1.27,3.340,3.340,90,No,-2.81,-6.44,13.44,0.60,3236.2,41.9
Little Gem Nebula,NGC 6818,PK 25-17 1,PNeb,Sagittarius,295.991758,-14.153733,,9.30,,0.563,0.439,120,No,,,-13.80,0.90,2055.0,
,NGC 6819,Cr 403,OC,Cygnus,295.327083,40.190000,8.21,7.30,0.91,11.400,11.400,0,No,-2.92,-3.86,2.78,0.17,2809.0,7.9
,NGC 6823,,OC,Vulpecula,295.794167,23.321111,7.71,7.10,0.61,3.580,3.580,90,No,-1.70,-5.30,17.00,5.40,2242.2,25.1
,NGC 6826,C15,PNeb,Cygnus,296.200625,50.525070,10.21,9.60,0.61,0.663,0.584,90,No,-9.23,-11.52,-6.20,0.90,1575.3,117.9
,NGC 6830,,OC,Vulpecula,297.717917,23.101111,8.41,7.90,0.51,8.400,8.400,0,No,-3.21,-5.77,-30.90,1.00,2358.5,16.7
,NGC 6834,,OC,Cygnus,298.052083,29.398889,8.46,7.80,0.66,6.000,6.000,0,No,-2.49,-5.09,-6.80,1.40,3676.5,40.5
,NGC 6866,Cr 412,OC,Cygnus,300.982917,44.158056,8.04,7.60,0.44,12.500,12.500,0,No,-1.37,-5.74,12.55,0.39,1457.7,6.4
,NGC 6885,C37,OC,Vulpecula,303.004167,26.478333,8.71,8.10,0.61,20.000,20.000,0,No,-2.64,-4.30,-1.60,1.00,600.0,
Crescent Nebula,NGC 6888,C27,Neb,Cygnus,303.029167,38.355000,7.44,7.40,0.04,18.000,12.000,0,Yes,,,,,1532.8,
Blue Flash Nebula,NGC 6905,,PNeb,Delphinus,305.595800,20.104524,16.30,14.50,1.80,0.530,0.445,65,No,-6.94,-5.53,-4.30,2.00,2502.5,286.2
,NGC 6910,,OC,Cygnus,305.797083,40.771111,,7.40,,10.700,10.700,0,No,-3.42,-5.36,-32.70,2.10,1834.9,13.5
,NGC 6934,C47,GC,Delphinus,308.547375,7.404472,10.48,9.75,0.73,1.200,1.200,0,No,-2.66,-4.67,-406.22,0.73,48076.9,12019.2
,NGC 6939,Mel 231,OC,Cepheus,307.917083,60.653056,8.85,7.80,1.05,14.800,14.800,0,No,-1.84,-5.41,-18.99,0.13,1976.3,7.8
,NGC 6940,Mel 232,OC,Vulpecula,308.625833,28.278056,,6.30,,30.000,30.000,0,No,-1.95,-9.41,7.70,0.10,1056.0,2.2
Fireworks Galaxy,NGC 6946,UGC 11597,SpiGal,Cygnus,308.718013,60.153914,9.61,8.81,0.80,5.741,4.885,53,No,0.00,0.00,40.00,2.00,4510000.0,145537.7
Western Veil Nebula,NGC 6960,C33/4,Neb,Cygnus,311.408333,30.708333,,7.00,,90.000,90.000,0,Yes,,,,,735.7,
Eastern Veil Nebula,NGC 6992/5,,Neb,Cygnus,314.079167,31.743333,,7.00,,90.000,90.000,0,Yes,,,,,735.7,
North America Nebula,NGC 7000,C20,Neb,Cygnus,314.695833,44.330000,,4.00,,120.000,100.000,0,Yes,,,,,795.0,25.0
,NGC 7006,C42,GC,Delphinus,315.372771,16.187914,,10.46,,1.107,1.018,85,No,-0.08,-0.61,-383.47,0.73,42000.0,
Fetus Nebula,NGC 7008,PK 93+5.2,PNeb,Cygnus,315.136740,54.543160,,10.70,,1.427,1.427,90,No,,,-73.00,,63.7,54.4
Saturn Nebula,NGC 7009,C55,PNeb,Aquarius,316.045064,-11.363495,12.48,12.07,0.41,0.707,0.523,70,No,7.75,1.00,-46.60,0.90,1154.1,154.6
Jewel Bug Nebula,NGC 7027,PK 084-03 1,PNeb,Cygnus,316.756550,42.236242,10.36,8.83,1.53,0.250,0.250,0,No,-22.70,-4.40,8.90,0.90,104.2,145.4
,NGC 7044,,OC,Cygnus,318.284167,42.493889,,12.00,,5.800,5.800,0,No,-4.98,-5.53,-48.66,0.43,3663.0,40.3
,NGC 7062,,OC,Cygnus,320.862083,46.385000,8.99,8.30,0.69,5.800,5.800,0,No,-1.91,-4.05,-22.26,0.14,2512.6,31.6
,NGC 7086,,OC,Cygnus,322.624167,51.593056,9.25,8.40,0.85,14.400,14.400,0,No,-1.66,-1.63,-20.14,2.43,1694.9,5.7
,NGC 7128,,OC,Cygnus,325.990833,53.715000,10.54,9.70,0.84,3.600,3.600,0,No,-4.03,-4.11,-48.00,5.00,3831.4,73.4
,NGC 7129,Cr 441,OC,Cepheus,325.740000,66.113889,,11.50,,5.000,5.000,0,No,-1.76,-3.27,,,920.8,9.3
,NGC 7142,Cr 442,OC,Cepheus,326.291667,65.771667,10.36,9.30,1.06,8.000,8.000,90,No,-2.75,-1.29,-49.70,0.20,2551.0,19.5
,NGC 7160,Cr 443,OC,Cepheus,328.447917,62.588889,6.34,6.10,0.24,9.000,9.000,0,No,-3.47,-1.38,-20.40,1.90,952.4,8.2
,NGC 7209,Cr 444,OC,Lacerta,331.224167,46.508056,8.24,7.70,0.54,36.500,36.500,0,No,2.26,0.28,-9.70,0.00,1219.5,3.0
,NGC 7217,UGC 11914,SpiGal,Pegasus,331.968305,31.359346,11.02,10.12,0.90,1.945,1.618,95,No,0.00,0.00,952.00,2.00,16000000.0,5900800.0
,NGC 7243,C16,OC,Lacerta,333.787917,49.830000,6.54,6.40,0.14,30.600,30.600,0,No,0.43,-2.86,-12.60,2.50,896.1,3.2
Helix Nebula,NGC 7293,C63,PNeb,Aquarius,337.410605,-20.837152,13.16,13.52,-0.37,13.400,13.400,90,No,38.87,-3.42,-15.00,10.00,201.0,3.1
,NGC 7296,,OC,Lacerta,337.004167,52.322778,,9.70,,6.400,6.400,0,No,-2.96,-2.71,-29.85,0.53,2531.6,25.6
,NGC 7331,C30,SpiGal,Pegasus,339.266725,34.415519,10.35,9.48,0.87,5.236,1.859,171,No,0.00,0.00,816.00,1.00,16200000.0,3211326.0
Wizard Nebula,NGC 7380,Cr 452,OC,Cepheus,341.817083,58.125000,7.62,7.20,0.42,10.800,10.800,0,No,-2.52,-2.14,-34.10,6.10,3003.0,36.1
,NGC 7448,UGC 12294,SpiGal,Pegasus,345.014958,15.980333,12.20,11.71,0.49,1.346,0.615,170,No,0.00,0.00,2194.00,1.00,20100000.0,3984423.0
,NGC 7479,C44,SpiGal,Pegasus,346.236042,12.322889,11.60,10.85,0.75,2.037,1.546,25,No,0.00,0.00,2376.00,1.00,36800000.0,3392960.0
,NGC 7510,Cr 454,OC,Cepheus,347.767083,60.578889,8.77,7.90,0.87,6.600,6.600,0,No,-3.66,-2.19,63.74,3.44,3496.5,36.7
,NGC 7606,PGC 71047,SpiGal,Aquarius,349.769913,-8.485089,11.51,10.75,0.76,2.685,1.069,145,No,0.00,0.00,2234.00,1.00,39400000.0,7810262.0
Bubble Nebula,NGC 7635,C11,Neb,Cassiopeia,350.201250,61.201667,,10.00,,15.000,8.000,0,Yes,,,,,3400.0,
Blue Snowball Nebula,NGC 7662,C22,PNeb,Andromeda,351.473333,42.535000,9.40,12.00,-2.60,0.257,0.257,90,No,12.20,-1.00,-12.20,0.90,82.6,75.8
,NGC 7686,Cr 456,OC,Andromeda,352.422083,49.170000,6.79,5.60,1.19,15.000,15.000,0,No,-1.15,-1.21,6.00,,,
,NGC 7723,PGC 72009,SpiGal,Aquarius,354.737833,-12.961083,11.94,11.21,0.73,1.733,1.172,40,No,0.00,0.00,1863.00,6.00,29600000.0,5867608.0
,NGC 7727,PGC 72060,SpiGal,Aquarius,354.973846,-12.292781,11.50,10.59,0.91,2.338,1.775,28,No,0.00,0.00,1868.00,2.00,30100000.0,8464421.0
Caroline's Rose,NGC 7789,Cr 460,OC,Cassiopeia,346.034167,56.726111,7.68,6.70,0.98,25.300,25.300,0,No,-0.92,-1.93,-54.49,0.25,2207.5,4.9
,NGC 7790,Cr 461,OC,Cassiopeia,359.612917,61.210000,9.18,8.50,0.68,7.100,7.100,0,No,-3.28,-1.68,-80.20,1.60,3717.5,55.3
,NGC 7814,C43,SpiGal,Pegasus,354.812042,16.145417,11.56,10.57,0.99,2.748,1.146,135,No,0.00,0.00,1051.00,1.00,19200000.0,3806016.0
,IC 289,,PNeb,Cassiopeia,47.580424,61.316920,16.80,13.20,3.60,0.613,0.613,90,No,-2.88,-3.90,-13.40,,1592.4,152.9
Omicron Velorum Cluster,IC 2391,C85,OC,Vela,130.292083,-52.991111,,2.60,,97.700,97.700,0,No,-24.93,23.26,14.59,0.09,151.6,0.2
Southern Pleiades,IC 2602,C102,OC,Carina,160.612917,-64.426111,,1.60,,173.900,173.900,0,No,-17.78,10.66,17.43,0.11,152.2,0.2
Large Magellanic Cloud,PGC 17223,,IrrGal,Dorado,80.891667,-69.756667,0.91,0.40,0.51,322.827,274.726,171,No,0.00,0.00,278.00,2.00,50000.0,461.0
,NGC 188,C1,OC,Cepheus,11.797917,85.243889,,10.00,,32.600,32.600,0,No,-2.31,-0.96,-41.82,0.15,1979.0,4.3
,NGC 4236,C3,SpiGal,Draco,184.175500,69.462583,10.05,9.63,0.42,10.939,3.621,162,No,0.00,0.00,0.00,4.00,4410000.0,203301.0
Iris Nebula,NGC 7023,C4,Neb,Cepheus,315.403750,68.163333,,6.80,,18.000,18.000,0,Yes,,,,,398.5,
Hidden Galaxy,IC 342,C5,SpiGal,Camelopardalis,56.702096,68.096367,,9.10,,10.690,10.444,153,No,0.00,0.00,31.00,3.00,3300000.0,212982.0
Cave Nebula,Sh2-155,C9,Neb,Cepheus,344.274583,62.635833,,7.70,,50.000,30.000,0,Yes,,,,,735.7,
,NGC 956,Cr 27,OC,Andromeda,38.062500,44.563333,,8.90,,9.000,9.000,0,No,0.57,-0.53,0.00,0.00,3455.0,
,NGC 7640,,SpiGal,Andromeda,350.527417,40.845417,11.86,11.32,0.54,10.472,2.000,167,No,0.00,0.00,61.00,22.00,903000.0,320000.0
,IC 239,,SpiGal,Andromeda,39.116165,38.969926,11.80,11.10,0.70,4.572,4.169,125,No,0.00,0.00,695.00,15.00,10250000.0,760000.0
,NGC 252,,SpiGal,Andromeda,12.006250,27.623639,,13.40,,1.513,1.096,80,No,0.00,0.00,4619.00,26.00,68130000.0,4780000.0
,NGC 23,,SpiGal,Andromeda,2.472542,25.923778,12.85,12.03,0.82,2.090,1.350,8,No,0.00,0.00,4225.00,24.00,62310000.0,4380000.0
,NGC 753,,SpiGal,Andromeda,29.425833,35.916111,12.97,12.31,0.66,2.512,1.949,125,No,0.00,0.00,4653.00,18.00,68630000.0,4810000.0
,NGC 304,,SpiGal,Andromeda,14.025083,24.126889,,14.00,,1.148,0.709,175,No,0.00,0.00,4667.00,38.00,68840000.0,4850000.0
,NGC 818,,SpiGal,Andromeda,32.185500,38.777194,13.20,12.53,0.67,2.952,1.290,113,No,0.00,0.00,4010.00,17.00,59140000.0,4150000.0
,NGC 841,,SpiGal,Andromeda,32.822333,37.497167,13.42,12.58,0.84,1.778,1.000,135,No,0.00,0.00,4310.00,17.00,63570000.0,4460000.0
,NGC 812,,SpiGal,Andromeda,31.714583,44.572917,,12.80,,3.237,1.479,160,No,0.00,0.00,4942.00,18.00,72890000.0,5110000.0
,NGC 906,,SpiGal,Andromeda,36.317750,42.089889,13.76,12.88,0.88,1.778,1.622,170,No,0.00,0.00,4468.00,23.00,65900000.0,4630000.0
,NGC 669,,SpiGal,Andromeda,26.817292,35.563306,13.36,12.32,1.04,3.162,0.588,36,No,0.00,0.00,4414.00,19.00,65110000.0,4570000.0
,NGC 214,,SpiGal,Andromeda,10.366790,25.499441,12.97,12.25,0.72,1.862,1.380,35,No,0.00,0.00,4210.00,23.00,62100000.0,4360000.0
,NGC 828,,SpiGal,Andromeda,32.539875,39.190361,13.15,12.25,0.90,2.883,2.238,135,No,0.00,0.00,5118.00,17.00,75490000.0,5290000.0
,NGC 262,,EllGal,Andromeda,12.196423,31.956968,13.90,13.06,0.84,1.072,1.072,40,No,0.00,0.00,4198.00,22.00,61920000.0,4350000.0
,NGC 169,,SpiGal,Andromeda,9.215000,23.990917,,13.30,,2.630,0.660,88,No,0.00,0.00,4289.00,24.00,63260000.0,4440000.0
,NGC 529,,EllGal,Andromeda,21.418333,34.713333,13.14,12.14,1.00,2.398,2.089,160,No,0.00,0.00,4443.00,25.00,65530000.0,4600000.0
,NGC 679,,EllGal,Andromeda,27.432417,35.785639,13.33,12.33,1.00,2.090,2.090,90,No,0.00,0.00,4792.00,20.00,70680000.0,4960000.0
,NGC 982,,SpiGal,Andromeda,38.853625,40.869722,,13.20,,1.513,0.575,132,No,0.00,0.00,5617.00,16.00,82840000.0,5800000.0
,NGC 536,,SpiGal,Andromeda,21.590750,34.703028,13.20,12.35,0.85,2.952,1.072,62,No,0.00,0.00,4910.00,20.00,72420000.0,5080000.0
,NGC 846,,SpiGal,Andromeda,33.051333,44.568389,,13.20,,1.950,1.699,140,No,0.00,0.00,4899.00,17.00,72260000.0,5060000.0
,NGC 834,,SpiGal,Andromeda,32.755375,37.666278,13.84,13.07,0.77,1.097,0.501,20,No,0.00,0.00,4359.00,17.00,64280000.0,4510000.0
,NGC 797a,,SpiGal,Andromeda,30.866427,38.116934,13.59,12.65,0.94,1.585,1.319,65,No,0.00,0.00,5414.00,17.00,79850000.0,5600000.0
,NGC 708,,EllGal,Andromeda,28.193667,36.151833,,14.80,,3.020,2.513,35,No,0.00,0.00,4509.00,23.00,66500000.0,4670000.0
,NGC 108,,EllGal,Andromeda,6.498875,29.212056,,13.30,,2.042,1.621,70,No,0.00,0.00,4449.00,34.00,65620000.0,4620000.0
,IC 1525,,SpiGal,Andromeda,359.815625,46.889667,,13.30,,1.950,1.412,20,No,0.00,0.00,4742.00,20.00,69940000.0,4900000.0
,NGC 393,,EllGal,Andromeda,17.153958,39.644306,13.60,12.53,1.07,1.698,1.413,20,No,0.00,0.00,5826.00,34.00,85920000.0,6040000.0
,NGC 687,,EllGal,Andromeda,27.638500,36.370806,13.30,12.26,1.04,1.413,1.413,90,No,0.00,0.00,4836.00,20.00,71330000.0,5000000.0
,NGC 7831,,SpiGal,Andromeda,1.831375,32.609250,,13.40,,1.738,0.426,38,No,0.00,0.00,4748.00,23.00,70040000.0,4910000.0
,IC 179,,EllGal,Andromeda,30.047917,38.021333,13.56,12.57,0.99,1.820,1.514,110,No,0.00,0.00,3966.00,29.00,58490000.0,4120000.0
,NGC 513,,SpiGal,Andromeda,21.111875,33.799448,,13.40,,0.677,0.332,75,No,0.00,0.00,5578.00,22.00,82270000.0,5770000.0
,NGC 801,,SpiGal,Andromeda,30.936792,38.258722,13.96,13.09,0.87,3.162,0.692,150,No,0.00,0.00,5527.00,17.00,81530000.0,5710000.0
,NGC 21,,SpiGal,Andromeda,2.695417,33.352833,,13.50,,1.698,0.776,154,No,0.00,0.00,4443.00,23.00,65520000.0,4600000.0
,NGC 97,,EllGal,Andromeda,5.625000,29.745361,,13.50,,1.513,1.288,25,No,0.00,0.00,4439.00,26.00,65470000.0,4600000.0
,NGC 425,,SpiGal,Andromeda,18.260667,38.768361,,13.50,,1.047,0.977,65,No,0.00,0.00,6119.00,20.00,90240000.0,6320000.0
,NGC 523,,SpiGal,Andromeda,21.336392,34.024956,13.50,12.71,0.79,2.512,0.741,108,No,0.00,0.00,4481.00,20.00,66090000.0,4640000.0
,NGC 551,,SpiGal,Andromeda,21.919417,37.182917,,13.50,,1.820,0.795,140,No,0.00,0.00,4921.00,50.00,72590000.0,5090000.0
,NGC 573,,SpiGal,Andromeda,22.705625,41.257306,,13.50,,0.407,0.362,105,No,0.00,0.00,2531.00,19.00,37330000.0,2630000.0
,NGC 668,,SpiGal,Andromeda,26.594458,36.460306,13.74,13.06,0.68,1.778,1.231,30,No,0.00,0.00,4240.00,18.00,62530000.0,4390000.0
,NGC 317A,,SpiGal,Andromeda,14.412716,43.800764,,13.56,,1.380,1.288,95,No,0.00,0.00,4835.00,38.00,71310000.0,5020000.0
,NGC 218,,SpiGal,Andromeda,11.633292,36.325611,,13.60,,1.548,1.175,130,No,0.00,0.00,10921.00,22.00,161080000.0,11280000.0
,NGC 759,,EllGal,Andromeda,29.459708,36.343111,13.84,12.74,1.10,1.585,1.446,10,No,0.00,0.00,4418.00,22.00,65160000.0,4570000.0
,NGC 528,,SpiGal,Andromeda,21.390000,33.671667,,13.70,,1.738,1.097,55,No,0.00,0.00,4429.00,24.00,65330000.0,4590000.0
,NGC 160,,SpiGal,Andromeda,9.016917,23.957889,13.60,12.65,0.95,2.952,1.697,45,No,0.00,0.00,4923.00,23.00,72620000.0,5090000.0
,NGC 80,,EllGal,Andromeda,5.295208,22.357194,13.10,12.07,1.03,1.820,1.698,75,No,0.00,0.00,5304.00,28.00,78230000.0,5490000.0
,NGC 233,,EllGal,Andromeda,10.902333,30.587000,,13.80,,1.660,1.549,120,No,0.00,0.00,5107.00,35.00,75330000.0,5300000.0
,NGC 746,,IrrGal,Andromeda,29.462542,44.918583,,13.80,,1.905,1.318,90,No,0.00,0.00,476.00,16.00,7020000.0,550000.0
,NGC 183,,EllGal,Andromeda,9.622458,29.511222,13.74,12.74,1.00,2.090,1.622,130,No,0.00,0.00,5082.00,38.00,74950000.0,5280000.0
,NGC 721,,SpiGal,Andromeda,28.689417,39.383528,14.17,13.47,0.70,1.698,1.000,135,No,0.00,0.00,5353.00,18.00,78950000.0,5530000.0
,NGC 7836,,EllGal,Andromeda,2.006825,33.070772,14.40,13.69,0.71,0.852,0.526,133,No,0.00,0.00,4580.00,14.00,67550000.0,4740000.0
,IC 65,,SpiGal,Andromeda,15.230917,47.681972,,13.80,,3.890,1.148,155,No,0.00,0.00,2364.00,18.00,34870000.0,2460000.0
,NGC 898,,SpiGal,Andromeda,35.834875,41.951417,,13.80,,1.950,0.456,170,No,0.00,0.00,5179.00,20.00,76380000.0,5350000.0
,NGC 662,,SpiGal,Andromeda,26.147708,37.695778,,13.60,,0.832,0.525,20,No,0.00,0.00,5397.00,18.00,79610000.0,5580000.0
,NGC 26,,SpiGal,Andromeda,2.607792,25.831833,,13.90,,1.950,1.381,100,No,0.00,0.00,4253.00,24.00,62720000.0,4400000.0
,NGC 620,,EllGal,Andromeda,24.248667,42.323333,,13.90,,1.278,0.972,30,No,0.00,0.00,2257.00,18.00,33290000.0,2350000.0
,NGC 914,,SpiGal,Andromeda,36.521583,42.144083,,13.90,,1.820,1.289,117,No,0.00,0.00,5325.00,15.00,78540000.0,5500000.0
,NGC 19,,SpiGal,Andromeda,2.670292,32.983083,,13.90,,1.175,0.576,42,No,0.00,0.00,4465.00,23.00,65850000.0,4620000.0
,NGC 43,,EllGal,Andromeda,3.253125,30.915278,,13.90,,1.622,1.479,100,No,0.00,0.00,4457.00,25.00,65740000.0,4620000.0
,NGC 714,,SpiGal,Andromeda,28.373542,36.221306,14.10,13.06,1.04,1.548,0.379,112,No,0.00,0.00,4071.00,24.00,60050000.0,4220000.0
,NGC 712,,EllGal,Andromeda,28.285167,36.819861,,13.90,,1.288,1.023,85,No,0.00,0.00,5039.00,23.00,74330000.0,5210000.0
,NGC 591,,SpiGal,Andromeda,23.380277,35.668237,,14.00,,1.258,1.047,5,No,0.00,0.00,4279.00,20.00,63110000.0,4430000.0
,NGC 317B,,SpiGal,Andromeda,14.418542,43.792250,,13.94,,1.097,0.525,105,No,0.00,0.00,5065.00,21.00,74700000.0,5240000.0
,NGC 169A,,SpiGal,Andromeda,9.218042,23.984972,14.70,13.96,0.74,0.777,0.447,94,No,0.00,0.00,4263.00,29.00,62870000.0,4420000.0
,NGC 431,,SpiGal,Andromeda,18.518917,33.704194,,14.00,,1.413,0.872,20,No,0.00,0.00,5439.00,29.00,80220000.0,5630000.0
,NGC 512,,SpiGal,Andromeda,20.999167,33.907778,,14.00,,1.585,0.355,116,No,0.00,0.00,4587.00,20.00,67650000.0,4740000.0
,IC 178,,EllGal,Andromeda,29.728625,36.674694,14.06,13.28,0.78,1.258,0.933,170,No,0.00,0.00,4591.00,18.00,67710000.0,4750000.0
,NGC 477,,SpiGal,Andromeda,20.334875,40.488194,,14.00,,2.188,1.175,135,No,0.00,0.00,5610.00,20.00,82740000.0,5800000.0
,NGC 911,,EllGal,Andromeda,36.426667,41.956278,,14.00,,1.698,0.912,115,No,0.00,0.00,5554.00,22.00,81920000.0,5740000.0
,NGC 76,,EllGal,Andromeda,4.907458,29.933861,,14.00,,1.000,0.891,80,No,0.00,0.00,6999.00,30.00,103230000.0,7240000.0
,NGC 653,,SpiGal,Andromeda,25.607250,35.638333,,14.10,,1.478,0.240,39,No,0.00,0.00,5205.00,23.00,76760000.0,5380000.0
,NGC 561,,SpiGal,Andromeda,22.078167,34.308639,,14.10,,1.585,1.479,145,No,0.00,0.00,4395.00,20.00,64830000.0,4550000.0
,NGC 704B,,EllGal,Andromeda,28.157083,36.126806,,13.79,,1.278,0.844,85,No,0.00,0.00,4474.00,19.00,65990000.0,4630000.0
,IC 1683,,SpiGal,Andromeda,20.662500,34.436944,,14.20,,1.318,0.603,177,No,0.00,0.00,4588.00,26.00,67670000.0,4750000.0
,IC 1543,,SpiGal,Andromeda,5.231042,21.866028,,14.20,,0.742,0.676,30,No,0.00,0.00,5253.00,24.00,77470000.0,5430000.0
,NGC 13,,SpiGal,Andromeda,2.198833,33.433333,,14.20,,2.455,0.589,53,No,0.00,0.00,4488.00,23.00,66200000.0,4650000.0
,NGC 140,,SpiGal,Andromeda,7.835292,30.792500,,14.20,,1.513,1.259,45,No,0.00,0.00,6108.00,22.00,90090000.0,6320000.0
,NGC 590,,SpiGal,Andromeda,23.420500,44.928694,,14.20,,2.570,1.318,150,No,0.00,0.00,4712.00,21.00,69490000.0,4870000.0
,NGC 7618,,EllGal,Andromeda,349.946750,42.852639,,14.30,,1.202,1.000,5,No,0.00,0.00,4685.00,24.00,69100000.0,4850000.0
,NGC 710,,SpiGal,Andromeda,28.224750,36.052889,14.27,13.67,0.60,1.288,1.230,175,No,0.00,0.00,5871.00,19.00,86600000.0,6070000.0
,NGC 260,,SpiGal,Andromeda,12.144375,27.692444,,14.30,,0.933,0.933,80,No,0.00,0.00,4895.00,22.00,72200000.0,5070000.0
,IC 1675,,SpiGal,Andromeda,20.249583,34.248611,,14.30,,1.350,0.459,70,No,0.00,0.00,4817.00,29.00,71050000.0,4990000.0
,NGC 980,,EllGal,Andromeda,38.827333,40.926500,,14.30,,1.698,0.912,110,No,0.00,0.00,5528.00,15.00,81530000.0,5710000.0
,NGC 83,,EllGal,Andromeda,5.343333,22.433611,13.58,12.50,1.08,1.548,1.479,115,No,0.00,0.00,5808.00,29.00,85660000.0,6010000.0
,NGC 605,,SpiGal,Andromeda,23.759792,41.248139,,14.30,,2.188,1.149,145,No,0.00,0.00,4856.00,35.00,71630000.0,5040000.0
,IC 5355,,SpiGal,Andromeda,356.813708,32.782750,,14.40,,1.000,0.631,10,No,0.00,0.00,4525.00,23.00,66740000.0,4680000.0
,NGC 226,,SpiGal,Andromeda,10.725167,32.580972,,14.40,,0.912,0.912,130,No,0.00,0.00,4519.00,22.00,66660000.0,4680000.0
,IC 43,,SpiGal,Andromeda,10.591917,29.641639,13.94,13.24,0.70,1.585,1.446,10,No,0.00,0.00,4539.00,22.00,66950000.0,4700000.0
,NGC 923,,SpiGal,Andromeda,36.894333,41.977611,,14.40,,0.813,0.550,95,No,0.00,0.00,5442.00,16.00,80260000.0,5620000.0
,NGC 39,,SpiGal,Andromeda,3.078583,31.061083,,14.40,,1.148,1.047,120,No,0.00,0.00,4529.00,25.00,66800000.0,4690000.0
,NGC 27,,SpiGal,Andromeda,2.636452,28.996250,,14.50,,1.230,0.525,117,No,0.00,0.00,7515.00,24.00,110850000.0,7770000.0
,NGC 845,,SpiGal,Andromeda,33.082458,37.477333,14.34,13.49,0.85,1.660,0.417,149,No,0.00,0.00,4199.00,17.00,61940000.0,4340000.0
,NGC 90,,SpiGal,Andromeda,5.464167,22.400000,14.54,13.70,0.84,1.950,0.776,132,No,0.00,0.00,5011.00,25.00,73910000.0,5190000.0
,NGC 703,,EllGal,Andromeda,28.165000,36.171417,14.27,13.26,1.01,1.202,0.912,50,No,0.00,0.00,5326.00,20.00,78560000.0,5510000.0
,NGC 705,,SpiGal,Andromeda,28.173000,36.144000,14.44,13.43,1.01,1.202,0.281,117,No,0.00,0.00,4260.00,21.00,62830000.0,4410000.0
,NGC 946,,EllGal,Andromeda,37.660143,42.232619,,14.50,,1.445,1.000,65,No,0.00,0.00,5565.00,25.00,82080000.0,5760000.0
,NGC 112,,EllGal,Andromeda,6.703042,31.703306,,14.50,,1.072,0.525,108,No,0.00,0.00,5978.00,23.00,88180000.0,6180000.0
,NGC 68,,EllGal,Andromeda,4.577042,30.071750,,14.50,,2.042,1.819,45,No,0.00,0.00,5407.00,32.00,79750000.0,5600000.0
,NGC 6,,EllGal,Andromeda,2.386250,33.308667,,14.50,,1.548,1.479,140,No,0.00,0.00,4578.00,38.00,67520000.0,4760000.0
